username,time,tweet
dasokaybre,Tue Mar 01 05:29:47 IST 2016,death normal thing life hard part tri understand life goe without peopl
dasokaybre,Tue Mar 01 05:27:23 IST 2016,i drug hospit forgot mani peopl text hard time keep eye open
dasokaybre,Tue Mar 01 03:06:21 IST 2016,i known sinc i grade i liter alway hate douch dick
dasokaybre,Tue Mar 01 03:01:14 IST 2016,i friend
dasokaybre,Tue Mar 01 01:55:54 IST 2016,i laugh hard die i explain zach
dasokaybre,Tue Mar 01 01:54:48 IST 2016,piss i sleep taken i pretti fuck
dasokaybre,Tue Mar 01 01:54:06 IST 2016,
dasokaybre,Tue Mar 01 00:29:42 IST 2016,appreci deserv peopl accept flaw
dasokaybre,Tue Mar 01 00:27:19 IST 2016,
dasokaybre,Tue Mar 01 00:16:04 IST 2016,prop full time parent gotta hard keep head
dasokaybre,Mon Feb 29 10:09:16 IST 2016,rt uncl jess aunt becki serious relationship goal
dasokaybre,Mon Feb 29 08:47:00 IST 2016,rt this movi underr
dasokaybre,Mon Feb 29 05:36:37 IST 2016,i even mad i hang anyon anymor show fake life
dasokaybre,Mon Feb 29 05:09:39 IST 2016,rt john stamo hottest year old i ever seen
dasokaybre,Mon Feb 29 02:22:02 IST 2016,rt look good
dasokaybre,Mon Feb 29 01:17:30 IST 2016,i lost pound week
dasokaybre,Mon Feb 29 01:13:27 IST 2016,rice ate i would come
dasokaybre,Sun Feb 28 13:19:18 IST 2016,oh okay good two ador i got real sad brief minut
dasokaybre,Sun Feb 28 13:14:30 IST 2016,happen rhett
dasokaybre,Sun Feb 28 13:13:32 IST 2016,i still wonder peopl even talk anymor even friend it bless curs kind
dasokaybre,Sun Feb 28 13:10:54 IST 2016,presley god damn cute i handl
dasokaybre,Sun Feb 28 12:21:28 IST 2016,the fact peopl vote trump clinton show much educ system fail countri uneduc
dasokaybre,Sun Feb 28 08:18:40 IST 2016,excit next weekend
dasokaybre,Sat Feb 27 10:48:56 IST 2016,woah weird
dasokaybre,Sat Feb 27 10:26:14 IST 2016,i love
dasokaybre,Sat Feb 27 09:41:03 IST 2016,found twin
dasokaybre,Sat Feb 27 09:34:46 IST 2016,everyon need watch dope netflix it damn good
dasokaybre,Sat Feb 27 08:37:15 IST 2016,
dasokaybre,Sat Feb 27 06:51:12 IST 2016,babe
dasokaybre,Sat Feb 27 06:49:24 IST 2016,show
dasokaybre,Fri Feb 26 07:15:36 IST 2016,so grate parent holi shit make feel like absolut shit
dasokaybre,Wed Feb 24 21:59:48 IST 2016,thank i love
dasokaybre,Tue Feb 23 08:27:45 IST 2016,rt i love
dasokaybre,Tue Feb 23 08:24:52 IST 2016,rt sunflow make happi
dasokaybre,Tue Feb 23 08:19:10 IST 2016,thank
dasokaybre,Tue Feb 23 08:17:41 IST 2016,crack
dasokaybre,Tue Feb 23 07:05:04 IST 2016,when see bitch like
dasokaybre,Tue Feb 23 03:25:33 IST 2016,rt fact peopl think donald trump would remot good presid scare live hell
dasokaybre,Tue Feb 23 03:20:26 IST 2016,
dasokaybre,Mon Feb 22 06:41:07 IST 2016,no job i ever compar hard parent
dasokaybre,Mon Feb 22 03:47:14 IST 2016,rt
dasokaybre,Mon Feb 22 00:10:09 IST 2016,excit
dasokaybre,Mon Feb 22 00:10:03 IST 2016,rt
dasokaybre,Sun Feb 21 10:34:50 IST 2016,rt say it louder pleas freekesha
dasokaybre,Sun Feb 21 09:18:53 IST 2016,rt serious i even know i friend look outsid make realiz terribl
dasokaybre,Sun Feb 21 02:41:46 IST 2016,my perfect human i love two life
dasokaybre,Sat Feb 20 01:49:18 IST 2016,dude reliev
dasokaybre,Fri Feb 19 08:31:05 IST 2016,why girl poof hair make look like mega mind like cmon look fuck dumb
dasokaybre,Fri Feb 19 02:49:02 IST 2016,i love
dasokaybre,Thu Feb 18 23:14:35 IST 2016,you caden need come visit soon
