"username","time","tweet"
"leavewithasong","Thu Oct 03 15:09:37 +0000 2013","Time to study. #yay #not"
"leavewithasong","Thu Oct 03 12:18:51 +0000 2013","@proudjonasgirl are you basically telling yourself you love you? :D"
"leavewithasong","Wed Oct 02 20:34:16 +0000 2013","@coleyy2 you go girl!"
"leavewithasong","Wed Oct 02 19:37:26 +0000 2013","I'm trying to watch X-Factor but this stream takes forever to load."
"leavewithasong","Wed Oct 02 19:35:57 +0000 2013","@taylaxo_ if people actually retweet or believe that there is a 11/31 I'm gonna burry myself"
"leavewithasong","Wed Oct 02 19:34:34 +0000 2013","Can you STOP to fucking SPAM my timeline. I don't have time for your shit to get noticed by some irrelevant person."
"leavewithasong","Wed Oct 02 18:58:28 +0000 2013","@someoneoutwhere yes it is"
"leavewithasong","Wed Oct 02 18:21:55 +0000 2013","Omg why is tumblr so slow"
"leavewithasong","Wed Oct 02 18:08:52 +0000 2013","I have so much work to do over the weekend urg"
"leavewithasong","Wed Oct 02 18:01:28 +0000 2013","@JoickAddict love you more and you're welcome!"
"DwarvenWidow","Wed Oct 02 17:55:40 +0000 2013","Sarah is the freaking best. Helping me with my homework. I love you so much @leavewithasong"
"leavewithasong","Wed Oct 02 17:53:59 +0000 2013","Doing homework with @JoickAddict yep that's how our friendship works hahaha"
"JoBros_Germany","Wed Oct 02 17:47:38 +0000 2013","Ab heute gibt es endlich #FirstTime auf #iTunes zu kaufen.
Falls ihr es euch noch nicht vorbestellt habt, schaut... http://t.co/XKeLalluTR"
"leavewithasong","Wed Oct 02 15:21:22 +0000 2013","It's so cool that I can text with @TimberWolf0108 every day now :)"
"leavewithasong","Wed Oct 02 15:14:54 +0000 2013","Thank god we finally have a German edition of @harpersbazaarus #harpersbazaar"
"leavewithasong","Wed Oct 02 15:11:06 +0000 2013","Hey there, favorite magazine. ❤️ http://t.co/GvwSi1bLgF"
"leavewithasong","Wed Oct 02 14:48:32 +0000 2013","Just figured out that @iKleptomaniacx is the real Gossip Girl. They lied to us."
