username,time,tweet
leavewithasong,Thu Oct 03 15:09:37 +0000 2013,time studi yay
leavewithasong,Thu Oct 03 12:18:51 +0000 2013,basic tell love d
leavewithasong,Wed Oct 02 20:34:16 +0000 2013,go girl
leavewithasong,Wed Oct 02 19:37:26 +0000 2013,i tri watch x factor stream take forev load
leavewithasong,Wed Oct 02 19:35:57 +0000 2013,peopl actual retweet believ i gonna burri
leavewithasong,Wed Oct 02 19:34:34 +0000 2013,can stop fuck spam timelin i time shit get notic irrelev person
leavewithasong,Wed Oct 02 18:58:28 +0000 2013,yes
leavewithasong,Wed Oct 02 18:21:55 +0000 2013,omg tumblr slow
leavewithasong,Wed Oct 02 18:08:52 +0000 2013,i much work weekend urg
leavewithasong,Wed Oct 02 18:01:28 +0000 2013,love welcom
DwarvenWidow,Wed Oct 02 17:55:40 +0000 2013,sarah freak best help homework i love much
leavewithasong,Wed Oct 02 17:53:59 +0000 2013,doing homework yep friendship work hahaha
JoBros_Germany,Wed Oct 02 17:47:38 +0000 2013,ab heut gibt es endlich firsttim auf itun zu kaufen fall ihr es euch noch nicht vorbestellt habt schaut
leavewithasong,Wed Oct 02 15:21:22 +0000 2013,it cool i text everi day
leavewithasong,Wed Oct 02 15:14:54 +0000 2013,thank god final german edit harpersbazaar
leavewithasong,Wed Oct 02 15:11:06 +0000 2013,hey favorit magazin
leavewithasong,Wed Oct 02 14:48:32 +0000 2013,just figur real gossip girl they lie us
leavewithasong,Wed Oct 02 14:47:42 +0000 2013,know love xoxo gossip girl
leavewithasong,Wed Oct 02 14:35:35 +0000 2013,rememb i made peopl think nick come studi colleg meani like much
leavewithasong,Wed Oct 02 14:34:48 +0000 2013,beat ya
leavewithasong,Wed Oct 02 13:21:22 +0000 2013,freu dich auf mehr von solchen vorlesungen wie viel seid ihr einer vorlesung
leavewithasong,Wed Oct 02 11:20:42 +0000 2013,
leavewithasong,Wed Oct 02 07:12:42 +0000 2013,das gibt sich all bist ja auch noch nicht lang da aber freut mich das es dir gefällt
leavewithasong,Wed Oct 02 06:52:02 +0000 2013,wie gefällt dir denn famili ok
leavewithasong,Tue Oct 01 21:27:24 +0000 2013,deutsch
leavewithasong,Tue Oct 01 21:14:46 +0000 2013,i tire help
leavewithasong,Tue Oct 01 19:09:23 +0000 2013,final got
leavewithasong,Tue Oct 01 18:05:41 +0000 2013,thank doll
leavewithasong,Tue Oct 01 17:58:31 +0000 2013,new song bomb though they bad make right decis
leavewithasong,Tue Oct 01 17:37:19 +0000 2013,send phone number via dm i text haha
leavewithasong,Tue Oct 01 17:37:11 +0000 2013,wanna go back bad thing mom get wors urg
leavewithasong,Tue Oct 01 17:02:34 +0000 2013,yeah go set gt messag gt imessag work
leavewithasong,Tue Oct 01 16:47:23 +0000 2013,yaaay die get imessag we could talk via text messag
leavewithasong,Tue Oct 01 13:55:52 +0000 2013,btw i hate one girl take home yay
leavewithasong,Tue Oct 01 13:55:06 +0000 2013,i need see asap
leavewithasong,Tue Oct 01 13:54:14 +0000 2013,and my phone is on fuck this
leavewithasong,Tue Oct 01 13:51:45 +0000 2013,usual done well let us earli today
leavewithasong,Tue Oct 01 13:50:53 +0000 2013,have wait anoth minut i said friend i take home class till urg
leavewithasong,Tue Oct 01 12:05:40 +0000 2013,i listen bangerz yet idk haha
leavewithasong,Tue Oct 01 12:05:29 +0000 2013,star danc pretti much danc parti album demi person still littl rock
blahblahblanda,Tue Oct 01 09:14:12 +0000 2013,uhmm i actual one thirdwheel
leavewithasong,Tue Oct 01 06:47:25 +0000 2013,final get new apart door uhhh time
leavewithasong,Tue Oct 01 06:30:25 +0000 2013,one class got cancel today thrill
leavewithasong,Tue Oct 01 04:33:04 +0000 2013,why peopl cruel make come class
leavewithasong,Mon Sep 30 21:14:23 +0000 2013,this fall love cruelest way fall world away
leavewithasong,Mon Sep 30 20:58:15 +0000 2013,love it good meet new peopl get routin away home month
leavewithasong,Mon Sep 30 20:36:18 +0000 2013,it like go date anyway welcom realiti
leavewithasong,Mon Sep 30 20:35:22 +0000 2013,can nick stan stop pathet relationship olivia he obvious happi let
leavewithasong,Mon Sep 30 20:32:53 +0000 2013,god bless thank much
