username,time,tweet
ta11gir1,Sat Feb 27 02:47:33 IST 2016,autogynephilia sick twist hate concept polic womanhood base appear that misogynist
ta11gir1,Sat Feb 27 01:44:46 IST 2016,it sure amaz hypocrit intersex peopl
ta11gir1,Sat Feb 27 00:56:19 IST 2016,stalk terff must someth right
ta11gir1,Sat Feb 27 00:26:00 IST 2016,go hate elsewher i enough
ta11gir1,Sat Feb 27 00:25:09 IST 2016,the whole sick twist concept autogynephilia hate terff
ta11gir1,Sat Feb 27 00:24:03 IST 2016,tran exclusionari fals feminist t e r f f
ta11gir1,Sat Feb 27 00:23:14 IST 2016,wow brilliant
ta11gir1,Sat Feb 27 00:22:52 IST 2016,nope terf terf or better yet terff
ta11gir1,Sat Feb 27 00:21:53 IST 2016,their idea belong ever back women suppos stay home obey husband
ta11gir1,Sat Feb 27 00:20:51 IST 2016,sick trust idea autogynephilia mean tran came big prove
ta11gir1,Sat Feb 27 00:19:32 IST 2016,biolog realiti part terf logic
ta11gir1,Sat Feb 27 00:18:42 IST 2016,call like terf
ta11gir1,Sat Feb 27 00:17:09 IST 2016,feel free keep froth mouth ignor hatr though
ta11gir1,Sat Feb 27 00:16:42 IST 2016,scienc biolog support tran ident argument
ta11gir1,Sat Feb 27 00:13:30 IST 2016,get lost terf
ta11gir1,Sat Feb 27 00:10:51 IST 2016,it funni bring biolog
ta11gir1,Sat Feb 27 00:09:42 IST 2016,go away terf
ta11gir1,Sat Feb 27 00:09:24 IST 2016,you right tran woman never male begin
ta11gir1,Fri Feb 26 04:48:03 IST 2016,mani terf misogynist toward all women tran women
ta11gir1,Thu Feb 25 09:33:47 IST 2016,hey girl i decid come us friday night okay
ta11gir1,Wed Feb 24 19:23:39 IST 2016,the price silenc someth tran peopl know well
ta11gir1,Wed Feb 24 19:08:33 IST 2016,rt i defend free speech attack free speech my view free speech https
ta11gir1,Wed Feb 24 19:01:51 IST 2016,remind price silenc someth familiar tran peopl
ta11gir1,Wed Feb 24 18:38:44 IST 2016,rt this singl paragraph explan financi crisi prof mark blyth cannot share enough pleas rt
ta11gir1,Wed Feb 24 18:34:55 IST 2016,rt the thing cours i devot past year get platform defend fact i exist no
ta11gir1,Wed Feb 24 18:34:01 IST 2016,rt it help call peopl bigot no and help necessari go around tell tran women
ta11gir1,Wed Feb 24 18:33:15 IST 2016,rt fals alleg tran women spread malici misinform pose threat women
ta11gir1,Wed Feb 24 18:32:59 IST 2016,free speech never free there alway alway price pay often speaker sad
ta11gir1,Wed Feb 24 18:31:32 IST 2016,rt free speech is attack by bigot abus right free speech abus minor distort evid
ta11gir1,Wed Feb 24 18:30:28 IST 2016,let voic heard we know
ta11gir1,Wed Feb 24 18:29:55 IST 2016,speak get inform need you never know someon dear love may need mayb someon alreadi
ta11gir1,Wed Feb 24 18:26:09 IST 2016,we could use alli ya know
ta11gir1,Wed Feb 24 18:25:27 IST 2016,the price silenc someth tran peopl familiar tran transisbeauti
ta11gir1,Wed Feb 24 09:07:37 IST 2016,hey girl i let get togeth fun time soon ok
ta11gir1,Wed Feb 24 01:00:05 IST 2016,true funni languag work though
ta11gir1,Wed Feb 24 00:39:55 IST 2016,so i transgend or i simpli tran flaw societ expect gender
ta11gir1,Wed Feb 24 00:15:15 IST 2016,umm tripl aquarius
ta11gir1,Tue Feb 23 21:18:21 IST 2016,nice job
ta11gir1,Tue Feb 23 21:01:31 IST 2016,thought what we forget about restroom via
ta11gir1,Tue Feb 23 20:25:59 IST 2016,rt transgend wejustneedtope
ta11gir1,Tue Feb 23 20:13:33 IST 2016,reclaim what it mean be muslim one open mic time
ta11gir1,Tue Feb 23 20:12:55 IST 2016,islamophobia terrorist want give
ta11gir1,Tue Feb 23 19:56:21 IST 2016,sexolog war transgend children tran peopl general
ta11gir1,Tue Feb 23 05:51:27 IST 2016,rt hey first meet greet all welcom come hang ask burn question come support
ta11gir1,Tue Feb 23 04:18:14 IST 2016,her stori jen richard lgbt peopl need tell stori
ta11gir1,Sun Feb 21 21:08:36 IST 2016,rt pleas help reach follow intern women day ff feministfriday feminist canfem
ta11gir1,Sun Feb 21 20:59:42 IST 2016,rt charact nomi everythingeveryth spoiler pride monologu spoke deep
ta11gir1,Sat Feb 20 19:15:38 IST 2016,frosti cold chanc transphob homophob flurri
ta11gir1,Sat Feb 20 19:12:52 IST 2016,how mani men secur enough love tran women
ta11gir1,Sat Feb 20 19:07:54 IST 2016,
